data;hora;temperatura_c;umidade_pct;irradiancia_solar;status_geracao_solar
2026-08-26;0;25.6;92;0.0;Sem Geração (Noite)
2026-08-26;1;25.2;93;0.0;Sem Geração (Noite)
2026-08-26;2;24.8;94;0.0;Sem Geração (Noite)
2026-08-26;3;24.6;93;0.0;Sem Geração (Noite)
2026-08-26;4;24.3;94;0.0;Sem Geração (Noite)
2026-08-26;5;24.1;95;0.0;Sem Geração (Noite)
2026-08-26;6;24.1;95;0.0;Sem Geração (Noite)
2026-08-26;7;24.7;93;161.0;Baixo Potencial
2026-08-26;8;26.5;84;542.7;Alto Potencial
2026-08-26;9;28.6;73;559.7;Alto Potencial
2026-08-26;10;29.8;66;647.1;Alto Potencial
2026-08-26;11;31.0;60;741.5;Alto Potencial
2026-08-26;12;32.1;55;726.2;Alto Potencial
2026-08-26;13;32.7;51;694.6;Alto Potencial
2026-08-26;14;33.3;48;744.5;Alto Potencial
2026-08-26;15;33.5;46;714.8;Alto Potencial
2026-08-26;16;32.7;47;636.1;Alto Potencial
2026-08-26;17;31.4;54;534.8;Alto Potencial
2026-08-26;18;29.6;64;379.7;Alto Potencial
2026-08-26;19;28.3;71;17.5;Baixo Potencial
2026-08-26;20;27.7;73;0.0;Sem Geração (Noite)
2026-08-26;21;26.8;75;0.0;Sem Geração (Noite)
2026-08-26;22;26.3;77;0.0;Sem Geração (Noite)
2026-08-26;23;25.9;78;0.0;Sem Geração (Noite)
2026-08-27;0;25.5;80;0.0;Sem Geração (Noite)
2026-08-27;1;25.2;83;0.0;Sem Geração (Noite)
2026-08-27;2;24.8;86;0.0;Sem Geração (Noite)
2026-08-27;3;24.4;88;0.0;Sem Geração (Noite)
2026-08-27;4;24.1;90;0.0;Sem Geração (Noite)
2026-08-27;5;23.9;92;0.0;Sem Geração (Noite)
2026-08-27;6;23.8;93;0.0;Sem Geração (Noite)
2026-08-27;7;24.5;89;159.9;Baixo Potencial
2026-08-27;8;26.3;82;517.2;Alto Potencial
2026-08-27;9;28.4;71;669.1;Alto Potencial
2026-08-27;10;30.1;60;586.9;Alto Potencial
2026-08-27;11;31.8;54;649.9;Alto Potencial
2026-08-27;12;32.9;50;640.6;Alto Potencial
2026-08-27;13;33.5;47;594.4;Alto Potencial
2026-08-27;14;33.7;45;674.8;Alto Potencial
2026-08-27;15;32.1;51;533.7;Alto Potencial
2026-08-27;16;30.0;69;564.8;Alto Potencial
2026-08-27;17;29.1;74;519.1;Alto Potencial
2026-08-27;18;28.3;78;381.3;Alto Potencial
2026-08-27;19;27.7;84;17.7;Baixo Potencial
2026-08-27;20;28.3;80;0.0;Sem Geração (Noite)
2026-08-27;21;27.5;70;0.0;Sem Geração (Noite)
2026-08-27;22;26.4;74;0.0;Sem Geração (Noite)
2026-08-27;23;25.8;77;0.0;Sem Geração (Noite)
2026-08-28;0;25.2;79;0.0;Sem Geração (Noite)
2026-08-28;1;24.7;81;0.0;Sem Geração (Noite)
2026-08-28;2;24.0;85;0.0;Sem Geração (Noite)
2026-08-28;3;23.4;88;0.0;Sem Geração (Noite)
2026-08-28;4;23.1;90;0.0;Sem Geração (Noite)
2026-08-28;5;22.9;92;0.0;Sem Geração (Noite)
2026-08-28;6;22.7;93;0.0;Sem Geração (Noite)
2026-08-28;7;23.4;91;175.6;Baixo Potencial
2026-08-28;8;25.5;83;562.7;Alto Potencial
2026-08-28;9;27.8;73;716.8;Alto Potencial
2026-08-28;10;29.6;62;759.8;Alto Potencial
2026-08-28;11;31.1;57;808.3;Alto Potencial
2026-08-28;12;32.4;52;823.1;Alto Potencial
2026-08-28;13;33.6;45;818.0;Alto Potencial
2026-08-28;14;34.3;41;780.0;Alto Potencial
2026-08-28;15;33.7;43;738.7;Alto Potencial
2026-08-28;16;32.1;55;681.3;Alto Potencial
2026-08-28;17;30.7;67;593.9;Alto Potencial
2026-08-28;18;29.4;74;393.7;Alto Potencial
2026-08-28;19;29.0;73;17.8;Baixo Potencial
2026-08-28;20;28.3;64;0.0;Sem Geração (Noite)
2026-08-28;21;27.2;68;0.0;Sem Geração (Noite)
2026-08-28;22;26.6;69;0.0;Sem Geração (Noite)
2026-08-28;23;26.2;71;0.0;Sem Geração (Noite)
2026-08-29;0;25.6;73;0.0;Sem Geração (Noite)
2026-08-29;1;24.9;76;0.0;Sem Geração (Noite)
2026-08-29;2;24.6;80;0.0;Sem Geração (Noite)
2026-08-29;3;24.1;83;0.0;Sem Geração (Noite)
2026-08-29;4;24.0;84;0.0;Sem Geração (Noite)
2026-08-29;5;23.8;86;0.0;Sem Geração (Noite)
2026-08-29;6;23.7;88;0.0;Sem Geração (Noite)
2026-08-29;7;24.4;85;157.8;Baixo Potencial
2026-08-29;8;26.3;78;511.8;Alto Potencial
2026-08-29;9;28.5;68;674.0;Alto Potencial
2026-08-29;10;30.2;59;419.8;Alto Potencial
